iteracion,T,magnetizacion,n
900000,5.000000,0.000000,64
905000,5.000000,-0.005371,64
910000,5.000000,0.003418,64
915000,5.000000,0.022461,64
920000,5.000000,-0.010742,64
925000,5.000000,-0.003906,64
930000,5.000000,-0.005371,64
935000,5.000000,0.002441,64
940000,5.000000,0.012695,64
945000,5.000000,0.000977,64
950000,5.000000,-0.006836,64
955000,5.000000,0.008301,64
960000,5.000000,-0.006348,64
965000,5.000000,0.024902,64
970000,5.000000,0.001465,64
975000,5.000000,0.020020,64
980000,5.000000,0.016113,64
985000,5.000000,-0.002441,64
990000,5.000000,0.001465,64
995000,5.000000,-0.008301,64
1000000,5.000000,-0.006836,64
1005000,5.000000,0.008789,64
1010000,5.000000,0.008301,64
1015000,5.000000,-0.007812,64
1020000,5.000000,0.004883,64
1025000,5.000000,-0.006836,64
1030000,5.000000,-0.010254,64
1035000,5.000000,0.003906,64
1040000,5.000000,0.005371,64
1045000,5.000000,0.025879,64
1050000,5.000000,0.025391,64
1055000,5.000000,0.020508,64
1060000,5.000000,0.010254,64
1065000,5.000000,0.002930,64
1070000,5.000000,0.032227,64
1075000,5.000000,-0.000488,64
1080000,5.000000,0.005371,64
1085000,5.000000,-0.006836,64
1090000,5.000000,-0.001953,64
1095000,5.000000,0.028809,64
1100000,5.000000,-0.000488,64
1105000,5.000000,-0.022461,64
1110000,5.000000,-0.004395,64
1115000,5.000000,0.002930,64
1120000,5.000000,0.001953,64
1125000,5.000000,0.012207,64
1130000,5.000000,-0.006836,64
1135000,5.000000,0.000977,64
1140000,5.000000,-0.025391,64
1145000,5.000000,-0.005859,64
1150000,5.000000,-0.010254,64
1155000,5.000000,0.002930,64
1160000,5.000000,-0.000488,64
1165000,5.000000,0.005859,64
1170000,5.000000,-0.004395,64
1175000,5.000000,-0.009766,64
1180000,5.000000,-0.016113,64
1185000,5.000000,0.003418,64
1190000,5.000000,-0.000488,64
1195000,5.000000,-0.003906,64
1200000,5.000000,0.007324,64
1205000,5.000000,0.026855,64
1210000,5.000000,0.021973,64
1215000,5.000000,-0.018555,64
1220000,5.000000,0.008301,64
1225000,5.000000,0.010742,64
1230000,5.000000,-0.000977,64
1235000,5.000000,-0.004883,64
1240000,5.000000,0.016602,64
1245000,5.000000,0.007812,64
1250000,5.000000,-0.003418,64
1255000,5.000000,-0.013184,64
1260000,5.000000,-0.013672,64
1265000,5.000000,0.003906,64
1270000,5.000000,-0.001465,64
1275000,5.000000,0.001953,64
1280000,5.000000,0.004883,64
1285000,5.000000,-0.038574,64
1290000,5.000000,0.000488,64
1295000,5.000000,-0.010254,64
1300000,5.000000,0.016113,64
1305000,5.000000,-0.020020,64
1310000,5.000000,-0.019043,64
1315000,5.000000,-0.007812,64
1320000,5.000000,-0.025391,64
1325000,5.000000,-0.000488,64
1330000,5.000000,0.012207,64
1335000,5.000000,0.004395,64
1340000,5.000000,0.010254,64
1345000,5.000000,0.017090,64
1350000,5.000000,-0.007812,64
1355000,5.000000,-0.004883,64
1360000,5.000000,-0.003418,64
1365000,5.000000,-0.001953,64
1370000,5.000000,-0.016602,64
1375000,5.000000,-0.000977,64
1380000,5.000000,0.008789,64
1385000,5.000000,-0.018555,64
1390000,5.000000,-0.016113,64
1395000,5.000000,-0.008301,64
1400000,5.000000,0.028320,64
1405000,5.000000,0.011230,64
1410000,5.000000,-0.003418,64
1415000,5.000000,0.001953,64
1420000,5.000000,0.010254,64
1425000,5.000000,-0.005859,64
1430000,5.000000,-0.017090,64
1435000,5.000000,-0.013672,64
1440000,5.000000,0.006836,64
1445000,5.000000,-0.022949,64
1450000,5.000000,-0.010742,64
1455000,5.000000,0.006836,64
1460000,5.000000,-0.005371,64
1465000,5.000000,0.009766,64
1470000,5.000000,0.002930,64
1475000,5.000000,-0.016602,64
1480000,5.000000,0.005859,64
1485000,5.000000,-0.010742,64
1490000,5.000000,-0.010742,64
1495000,5.000000,-0.017090,64
1500000,5.000000,0.015137,64
1505000,5.000000,0.013672,64
1510000,5.000000,-0.010254,64
1515000,5.000000,-0.008789,64
1520000,5.000000,0.010254,64
1525000,5.000000,-0.018066,64
1530000,5.000000,-0.010254,64
1535000,5.000000,-0.003906,64
1540000,5.000000,-0.003906,64
1545000,5.000000,0.008789,64
1550000,5.000000,0.007324,64
1555000,5.000000,-0.006836,64
1560000,5.000000,-0.014160,64
1565000,5.000000,0.001953,64
1570000,5.000000,0.004883,64
1575000,5.000000,-0.020020,64
1580000,5.000000,-0.013184,64
1585000,5.000000,0.020996,64
1590000,5.000000,-0.004395,64
1595000,5.000000,0.001465,64
1600000,5.000000,0.005859,64
1605000,5.000000,0.021484,64
1610000,5.000000,0.011719,64
1615000,5.000000,-0.017578,64
1620000,5.000000,-0.006348,64
1625000,5.000000,-0.005371,64
1630000,5.000000,-0.014160,64
1635000,5.000000,-0.004395,64
1640000,5.000000,-0.015625,64
1645000,5.000000,-0.003906,64
1650000,5.000000,-0.005859,64
1655000,5.000000,0.024902,64
1660000,5.000000,0.018066,64
1665000,5.000000,0.013184,64
1670000,5.000000,0.007812,64
1675000,5.000000,0.009277,64
1680000,5.000000,-0.001953,64
1685000,5.000000,0.012695,64
1690000,5.000000,0.016602,64
1695000,5.000000,-0.001465,64
1700000,5.000000,-0.019531,64
1705000,5.000000,0.011719,64
1710000,5.000000,-0.020996,64
1715000,5.000000,-0.015625,64
1720000,5.000000,-0.007812,64
1725000,5.000000,0.006348,64
1730000,5.000000,0.027832,64
1735000,5.000000,0.007812,64
1740000,5.000000,0.015625,64
1745000,5.000000,0.013672,64
1750000,5.000000,0.018066,64
1755000,5.000000,0.015625,64
1760000,5.000000,0.004395,64
1765000,5.000000,0.009277,64
1770000,5.000000,-0.014160,64
1775000,5.000000,-0.014648,64
1780000,5.000000,0.011230,64
1785000,5.000000,0.016602,64
1790000,5.000000,-0.024414,64
1795000,5.000000,0.010742,64
1800000,5.000000,-0.020508,64
1805000,5.000000,-0.022949,64
1810000,5.000000,-0.022461,64
1815000,5.000000,-0.010254,64
1820000,5.000000,-0.005371,64
1825000,5.000000,0.022949,64
1830000,5.000000,0.012207,64
1835000,5.000000,0.007324,64
1840000,5.000000,0.028809,64
1845000,5.000000,0.002441,64
1850000,5.000000,-0.009277,64
1855000,5.000000,0.012207,64
1860000,5.000000,0.013672,64
1865000,5.000000,-0.014160,64
1870000,5.000000,0.001953,64
1875000,5.000000,0.014160,64
1880000,5.000000,0.007812,64
1885000,5.000000,0.014160,64
1890000,5.000000,0.000000,64
1895000,5.000000,-0.005859,64
1900000,5.000000,0.010254,64
1905000,5.000000,-0.021484,64
1910000,5.000000,0.008301,64
1915000,5.000000,0.007812,64
1920000,5.000000,-0.000488,64
1925000,5.000000,-0.015625,64
1930000,5.000000,-0.003418,64
1935000,5.000000,0.002930,64
1940000,5.000000,-0.008301,64
1945000,5.000000,-0.000977,64
1950000,5.000000,0.014648,64
1955000,5.000000,0.001953,64
1960000,5.000000,-0.010254,64
1965000,5.000000,-0.002930,64
1970000,5.000000,-0.000977,64
1975000,5.000000,-0.023926,64
1980000,5.000000,0.002930,64
1985000,5.000000,-0.011230,64
1990000,5.000000,-0.002441,64
1995000,5.000000,-0.012207,64
0,4.900000,-0.016113,64
5000,4.900000,-0.012695,64
10000,4.900000,0.006836,64
15000,4.900000,0.015625,64
20000,4.900000,-0.004883,64
25000,4.900000,0.009277,64
30000,4.900000,0.020020,64
35000,4.900000,0.003418,64
40000,4.900000,-0.011230,64
45000,4.900000,0.009766,64
50000,4.900000,-0.018555,64
55000,4.900000,0.012695,64
60000,4.900000,0.006348,64
65000,4.900000,-0.012207,64
70000,4.900000,0.007812,64
