iteracion,T,energia
970000,5.000000,113072.000000
980000,5.000000,113100.000000
990000,5.000000,113252.000000
0,4.990000,113124.000000
10000,4.990000,113100.000000
20000,4.990000,112976.000000
30000,4.990000,113028.000000
40000,4.990000,112948.000000
50000,4.990000,112948.000000
60000,4.990000,112976.000000
70000,4.990000,112948.000000
80000,4.990000,112816.000000
90000,4.990000,113060.000000
100000,4.990000,112832.000000
110000,4.990000,112804.000000
120000,4.990000,112776.000000
130000,4.990000,112940.000000
140000,4.990000,113008.000000
150000,4.990000,112768.000000
160000,4.990000,112744.000000
170000,4.990000,112688.000000
180000,4.990000,112624.000000
190000,4.990000,112676.000000
200000,4.990000,112632.000000
210000,4.990000,112740.000000
220000,4.990000,112588.000000
230000,4.990000,112740.000000
240000,4.990000,112504.000000
250000,4.990000,112628.000000
260000,4.990000,112548.000000
270000,4.990000,112692.000000
280000,4.990000,112476.000000
290000,4.990000,112440.000000
300000,4.990000,112520.000000
310000,4.990000,112300.000000
320000,4.990000,112280.000000
330000,4.990000,112268.000000
340000,4.990000,112332.000000
350000,4.990000,112296.000000
360000,4.990000,112416.000000
370000,4.990000,112352.000000
380000,4.990000,112260.000000
390000,4.990000,112168.000000
400000,4.990000,112168.000000
410000,4.990000,112188.000000
420000,4.990000,112208.000000
430000,4.990000,112148.000000
440000,4.990000,112112.000000
450000,4.990000,112144.000000
460000,4.990000,112108.000000
470000,4.990000,112116.000000
480000,4.990000,112184.000000
490000,4.990000,112064.000000
500000,4.990000,112096.000000
510000,4.990000,112128.000000
520000,4.990000,111740.000000
530000,4.990000,112140.000000
540000,4.990000,112136.000000
550000,4.990000,111916.000000
560000,4.990000,112164.000000
570000,4.990000,111928.000000
580000,4.990000,111984.000000
590000,4.990000,111980.000000
600000,4.990000,111732.000000
610000,4.990000,111928.000000
620000,4.990000,111712.000000
630000,4.990000,111692.000000
640000,4.990000,111700.000000
650000,4.990000,111632.000000
660000,4.990000,111704.000000
670000,4.990000,111696.000000
680000,4.990000,111664.000000
690000,4.990000,111524.000000
700000,4.990000,111700.000000
710000,4.990000,111532.000000
720000,4.990000,111648.000000
730000,4.990000,111596.000000
740000,4.990000,111700.000000
750000,4.990000,111516.000000
760000,4.990000,111656.000000
770000,4.990000,111404.000000
780000,4.990000,111636.000000
790000,4.990000,111576.000000
800000,4.990000,111404.000000
810000,4.990000,111356.000000
820000,4.990000,111372.000000
830000,4.990000,111488.000000
840000,4.990000,111492.000000
850000,4.990000,111312.000000
860000,4.990000,111484.000000
870000,4.990000,111160.000000
880000,4.990000,111432.000000
890000,4.990000,111184.000000
900000,4.990000,111188.000000
910000,4.990000,111264.000000
920000,4.990000,111368.000000
930000,4.990000,111288.000000
940000,4.990000,111080.000000
950000,4.990000,111164.000000
960000,4.990000,111200.000000
970000,4.990000,111220.000000
980000,4.990000,111044.000000
990000,4.990000,111148.000000
0,4.980000,110980.000000
10000,4.980000,111140.000000
20000,4.980000,111000.000000
30000,4.980000,111124.000000
40000,4.980000,110964.000000
50000,4.980000,110804.000000
60000,4.980000,111088.000000
70000,4.980000,110956.000000
80000,4.980000,110864.000000
