iteracion,T,magnetizacion
100000,4.980000,0.005371
110000,4.980000,0.034668
120000,4.980000,0.010254
130000,4.980000,0.023926
140000,4.980000,0.014160
150000,4.980000,0.020996
160000,4.980000,0.041504
170000,4.980000,0.002930
180000,4.980000,0.025879
190000,4.980000,0.032227
200000,4.980000,0.016113
210000,4.980000,0.024902
220000,4.980000,0.046387
230000,4.980000,-0.008301
240000,4.980000,0.008789
250000,4.980000,0.024902
260000,4.980000,0.010254
270000,4.980000,0.011230
280000,4.980000,0.019531
290000,4.980000,-0.001465
300000,4.980000,-0.010742
310000,4.980000,0.013672
320000,4.980000,-0.056641
330000,4.980000,0.004883
340000,4.980000,-0.021973
350000,4.980000,-0.021973
360000,4.980000,0.000000
370000,4.980000,-0.020020
380000,4.980000,-0.003418
390000,4.980000,0.020508
400000,4.980000,-0.020996
410000,4.980000,-0.019043
420000,4.980000,-0.019531
430000,4.980000,0.046387
440000,4.980000,-0.008301
450000,4.980000,-0.001953
460000,4.980000,-0.019531
470000,4.980000,-0.021973
480000,4.980000,0.039062
490000,4.980000,0.026855
500000,4.980000,-0.001465
510000,4.980000,0.001953
520000,4.980000,-0.012695
530000,4.980000,0.020996
540000,4.980000,0.006348
550000,4.980000,0.005859
560000,4.980000,0.016602
570000,4.980000,0.020020
580000,4.980000,0.024414
590000,4.980000,-0.019043
600000,4.980000,-0.025391
610000,4.980000,-0.027344
620000,4.980000,-0.018555
630000,4.980000,0.028320
640000,4.980000,0.047363
650000,4.980000,0.028320
660000,4.980000,0.041504
670000,4.980000,0.005859
680000,4.980000,0.020996
690000,4.980000,0.017090
700000,4.980000,0.029785
710000,4.980000,0.033691
720000,4.980000,0.008301
730000,4.980000,0.025879
740000,4.980000,0.049805
750000,4.980000,0.021973
760000,4.980000,-0.007324
770000,4.980000,-0.009766
780000,4.980000,-0.027832
790000,4.980000,0.018555
800000,4.980000,0.018066
810000,4.980000,0.017578
820000,4.980000,0.042969
830000,4.980000,0.035156
840000,4.980000,0.047852
850000,4.980000,0.031250
860000,4.980000,-0.021973
870000,4.980000,0.018555
880000,4.980000,-0.015625
890000,4.980000,0.003906
900000,4.980000,-0.021973
910000,4.980000,-0.009766
920000,4.980000,-0.039062
930000,4.980000,-0.025879
940000,4.980000,-0.000488
950000,4.980000,0.017090
960000,4.980000,0.020020
970000,4.980000,0.012207
980000,4.980000,0.039062
990000,4.980000,0.047852
0,4.969999,0.052246
10000,4.969999,0.021973
20000,4.969999,0.004395
30000,4.969999,0.006348
40000,4.969999,-0.015625
50000,4.969999,-0.038086
60000,4.969999,-0.016113
70000,4.969999,-0.021484
80000,4.969999,0.013184
90000,4.969999,0.010742
100000,4.969999,0.026367
110000,4.969999,0.025391
120000,4.969999,0.004883
130000,4.969999,-0.020996
140000,4.969999,-0.045410
150000,4.969999,-0.037109
160000,4.969999,0.011719
170000,4.969999,-0.030273
180000,4.969999,-0.004883
190000,4.969999,0.010254
